what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1352055464794
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1352055464795
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1352055464797
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1352055464800
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1352055464801
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1352055464804
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1352055464808
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1352055464810
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1352055464812
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1352055464816
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1352055464818
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1352055464818
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1352055464820
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1352055464823
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1352055464826
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1352055464828
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1352055464831
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1352055464834
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352055464835
os,sysinfo,,,"win32",1352055464844
arch,sysinfo,,,"x86_64",1352055464844
ws,sysinfo,,,"win32",1352055464844
locale,sysinfo,,,"en_US",1352055464844
processors,sysinfo,,,"2",1352055464844
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352055464844
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1352055464844
java.specification.name,sysinfo,,,"Java Platform API Specification",1352055464844
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352055464844
java.specification.version,sysinfo,,,"1.6",1352055464844
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1352055464844
java.version,sysinfo,,,"1.6.0_17",1352055464844
java.vm.info,sysinfo,,,"mixed mode",1352055464844
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1352055464844
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352055464844
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352055464845
java.vm.specification.version,sysinfo,,,"1.0",1352055464845
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1352055464845
java.vm.version,sysinfo,,,"14.3-b01",1352055464845
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352055464868
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1352055464880
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1352055465282
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1352055465420
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1352055466243
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1352055466247
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1352055467772
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1352055470274
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1352055470307
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1352055470537
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1352055470638
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1352055470825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055483772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055486493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055489755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055495212
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1352055496084
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1352055499629
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1352055500549
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1352055500662
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1352055519035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1352055520756
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1352055521759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055532309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055547206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1352055549807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055594264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055594654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055595017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055595515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055595545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055595579
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055595615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055595646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055595834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596832
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1352055596986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055612042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055649712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055651969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055654495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055655448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055657837
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1352055673768
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1352055674572
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1352055674606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055675492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055676632
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1352055677418
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1352055680869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055698655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055769093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055777699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055778648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055779062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055846433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055846698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055933441
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1352055935323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055943781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055944757
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1352055946719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055954258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055956061
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1352055961875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352055965647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352056046612
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1352056046683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352056063020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352056066859
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1352056067070
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1352056067112
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1352056089008
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1352056089043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352056133352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352056133917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352056139265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352056144168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1352056151057
